business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,engagement_count,engagement_rate_by_followers,like_rate_by_views,comment_rate_by_likes,views_per_follower,is_high_engagement,posting_time_category,caption_length_category,hashtag_intensity,content_localization_score
Ramallah Care Pharmacy,pharmacy,13666,2025-12-16,22,Tuesday,12,carousel,صحتك بتهمنا Swipe وشوفوا الباقي. موجودين في Rafah today. منتج فلسطيني زورونا وخلينا نجهزلك طلبك. #تعليم #مخبز,109,2,0,271,41,10452,Mixed,True,False,0.0,True,False,True,False,312,0.02283038196985219,0.025928052047455033,0.15129151291512916,0.7648177959900483,False,night,medium,low,5
Nablus Bites,restaurant,12838,2025-10-18,20,Saturday,10,video,اليوم عنا أكل طيب فيديو جديد. احنا جاهزين احجز الآن وخليها علينا #عيادة #تعليم,78,2,0,894,34,13784,Arabic,True,False,0.0,False,False,False,True,928,0.0722854027107026,0.06485780615206035,0.03803131991051454,1.073687490263281,False,evening,short,low,3
Al Amal Dental,clinic,4652,2025-01-17,21,Friday,1,carousel,صحتكم أولويتنا سوايب وشوفوا التفاصيل. شو رأيكم؟ الكمية محدودة 50% خصم لفترة محدودة زورونا بفرعنا في Rafah ابعتولنا DM وخليها علينا 📚 🧴 😍 #عروض,142,1,3,210,46,2027,Arabic,True,True,50.0,True,False,False,True,256,0.055030094582975066,0.10360138135175136,0.21904761904761905,0.4357265692175408,False,evening,medium,low,6
Hebron Study Hub,education_center,26289,2025-03-27,20,Thursday,3,reel,استنونا بدورة جديدة شوفوا الريل. زورونا بفرعنا في Tulkarm كل عام وأنتم بخير ✅ #تعليم #قهوة,90,2,1,4698,672,96092,Arabic,True,False,0.0,True,True,False,False,5370,0.2042679447677736,0.04889064646380552,0.14303959131545338,3.655217010917114,True,evening,medium,low,5
Bethlehem Brew Bar,cafe,2210,2025-11-01,22,Saturday,11,image,أجواء ولا أروع صورة جديدة. أهلا بالناس الحلوة منتج فلسطيني #عيادة #مطاعم,72,2,0,131,11,2721,Mixed,False,False,0.0,False,False,True,True,142,0.06425339366515836,0.04814406468210217,0.08396946564885496,1.2312217194570136,False,night,short,low,5
Sama Beauty Studio,beauty_salon,1578,2025-03-09,19,Sunday,3,video,دلعي حالك فيديو جديد. أهلا بالناس الحلوة موجودين في Ramallah today. DM us وخلينا نجهزلك طلبك. #Palestine,104,1,0,177,16,1162,Mixed,True,False,0.0,True,False,False,True,193,0.12230671736375158,0.1523235800344234,0.0903954802259887,0.7363751584283904,False,evening,medium,low,6
TechSouq Ramallah,electronics_store,54348,2025-01-27,22,Monday,1,image,وصلت أجهزة جديدة صورة جديدة. شو رأيكم؟ عرض خاص 5% خصم لفترة محدودة زورونا بفرعنا في Qalqilya زورونا وخليها علينا,112,0,0,5128,440,36187,Arabic,True,True,5.0,True,False,False,True,5568,0.10245087215720909,0.14170834830187637,0.08580343213728549,0.6658386693162582,False,night,medium,none,6
Nablus Mobile Center,electronics_store,38629,2025-03-25,21,Tuesday,3,video,وصلت أجهزة جديدة فيديو جديد. Order now وخلينا نجهزلك طلبك. 🧴,60,0,1,6171,802,45748,Mixed,True,False,0.0,False,False,False,False,6973,0.18051205053198374,0.13489114278219813,0.12996272889321017,1.1842915943979913,True,evening,short,none,0
Jericho Date Bakery,bakery,2766,2025-07-24,10,Thursday,7,image,طازة من الفرن صورة جديدة. ابعتولنا DM وخلينا نجهزلك طلبك. #Palestine #SupportLocal,82,2,0,85,3,1395,Mixed,True,False,0.0,False,False,False,True,88,0.03181489515545915,0.06093189964157706,0.03529411764705882,0.5043383947939263,False,morning,short,low,3
Sama Beauty Studio,beauty_salon,1564,2025-10-03,18,Friday,10,reel,Glow up season Watch the reel. Order now. 🛍️ 🥙,46,0,2,122,8,3543,English,True,False,0.0,False,False,False,False,130,0.08312020460358056,0.034434095399379056,0.06557377049180328,2.2653452685421995,False,evening,short,none,0
