column,description,type,example
business_name,SME name,string,Cafe Al-Quds
sector,Business sector/category,string,Cafe
followers_count,Followers for the business account,integer,12000
post_date,Post publish date (ISO),date,2025-10-14
posting_hour,Hour of day posted (0-23),integer,19
day_of_week,Day name,string,Tuesday
month,Month number (1-12),integer,10
post_type,Content format (image/reel/carousel/video),string,reel
caption_text,Post caption text,string,"New menu items tonight!"
caption_length,Caption length in characters,integer,48
hashtags_count,Count of hashtags in caption,integer,6
emoji_count,Count of emojis in caption,integer,3
likes_count,Likes on the post,integer,420
comments_count,Comments on the post,integer,38
views_count,Views (usually for reels/videos),integer,15400
language,Content language (Arabic/English/Mixed),string,Arabic
CTA_present,Whether a call-to-action exists,boolean,True
promo_post,Whether it's promotional/salesy,boolean,False
discount_percent,Discount percent if promo (0-100),float,20
mentions_location,Whether a location is mentioned,boolean,True
religious_theme,Whether religious theme exists,boolean,False
patriotic_theme,Whether patriotic theme exists,boolean,True
arabic_dialect_style,Whether local dialect style is used,boolean,True

