antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_len,consequent_len,consequent_item,antecedents_str,consequent_str,min_support,min_confidence,min_lift,max_antecedent_len
frozenset({'hashtag=55555'}),frozenset({'high_view_rate'}),0.0440251572327044,0.27672955974842767,0.0440251572327044,1.0,3.6136363636363638,0.0318420948538428,inf,0.756578947368421,1,1,high_view_rate,{hashtag=55555},{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=حملة_جراند_أكبر_وأوفر'}),frozenset({'high_view_rate'}),0.031446540880503145,0.27672955974842767,0.031446540880503145,1.0,3.6136363636363638,0.022744353467030576,inf,0.7467532467532467,1,1,high_view_rate,{hashtag=حملة_جراند_أكبر_وأوفر},{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=gym'}),frozenset({'high_view_rate'}),0.018867924528301886,0.27672955974842767,0.018867924528301886,1.0,3.6136363636363638,0.013646612080218345,inf,0.7371794871794871,1,1,high_view_rate,{hashtag=gym},{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=xtreme_fitness💪2025💪'}),frozenset({'high_view_rate'}),0.018867924528301886,0.27672955974842767,0.018867924528301886,1.0,3.6136363636363638,0.013646612080218345,inf,0.7371794871794871,1,1,high_view_rate,{hashtag=xtreme_fitness💪2025💪},{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=القدس'}),frozenset({'high_view_rate'}),0.012578616352201259,0.27672955974842767,0.012578616352201259,1.0,3.6136363636363638,0.009097741386812231,inf,0.732484076433121,1,1,high_view_rate,{hashtag=القدس},{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=gym', 'hashtag=xtreme_fitness💪2025💪'})",frozenset({'high_view_rate'}),0.012578616352201259,0.27672955974842767,0.012578616352201259,1.0,3.6136363636363638,0.009097741386812231,inf,0.732484076433121,2,1,high_view_rate,"{hashtag=gym, hashtag=xtreme_fitness💪2025💪}",{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=fitnessgoal'}),frozenset({'high_view_rate'}),0.012578616352201259,0.27672955974842767,0.012578616352201259,1.0,3.6136363636363638,0.009097741386812231,inf,0.732484076433121,1,1,high_view_rate,{hashtag=fitnessgoal},{high_view_rate},0.01,0.4,1.2,3
"frozenset({'hashtag=xtreme_fitness💪2025💪', 'hashtag=fitnessgoal'})",frozenset({'high_view_rate'}),0.012578616352201259,0.27672955974842767,0.012578616352201259,1.0,3.6136363636363638,0.009097741386812231,inf,0.732484076433121,2,1,high_view_rate,"{hashtag=fitnessgoal, hashtag=xtreme_fitness💪2025💪}",{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=ramallah_city'}),frozenset({'high_view_rate'}),0.012578616352201259,0.27672955974842767,0.012578616352201259,1.0,3.6136363636363638,0.009097741386812231,inf,0.732484076433121,1,1,high_view_rate,{hashtag=ramallah_city},{high_view_rate},0.01,0.4,1.2,3
frozenset({'hashtag=fitnessmodel'}),frozenset({'high_view_rate'}),0.012578616352201259,0.27672955974842767,0.012578616352201259,1.0,3.6136363636363638,0.009097741386812231,inf,0.732484076433121,1,1,high_view_rate,{hashtag=fitnessmodel},{high_view_rate},0.01,0.4,1.2,3
